"yearsdeveloper","yearsflossdeveloper","projects","volunteer[1]","volunteer[2]","volunteer[3]","volunteer[4]","volunteer[other]","licensefamiliar","licensesigned","licensewilling","licensenonprofit","licensenonprofit[other]","assignmentfamiliar","assignmentsigned","assignmentwilling","assignmentnonprofit","assignmentnonprofit[other]","dcofamiliar","dcosigned","dcowilling","dcononprofit","dcononprofit[other]","othersigned","othersigneddetails","othersame","othernopolicy","obstacledecline","obstaclereason[1]","obstaclereason[2]","obstaclereason[3]","obstaclereason[4]","obstaclereason[other]","developercomments"
"21.0000000000","14.0000000000","perl, python, MySQL, OpenStack, Drizzle, bzr, Zope","Yes","No","Yes","Yes","","5","Yes","3","I am unsure if non-profit/for-profit status would affect my decision","","5","No","1","I would not sign with either","","5","No","3","I would be equally willing to contribute to either","","No","","Yes","Yes","Yes","No","Yes","Yes","No","",""
"24.0000000000","16.0000000000","","Yes","Yes","Yes","Yes","","4","No","2","I would be more likely to sign with a non-profit entity","","4","No","2","I would be more likely to sign with a non-profit entity","","5","Yes","5","I would be equally willing to contribute to either","","No","","Yes","Yes","Yes","No","Yes","Yes","No","",""
"31.0000000000","21.0000000000","Apache, GNU, *BSD, etc","Yes","No","Yes","No","","5","Yes","5","I would only sign with a non-profit entity","","5","No","1","I would not sign with either","","5","No","4","I would only contribute to a non-profit entity","","No","","Yes","No","Yes","No","No","No","No","copyright assignment",""
"29.0000000000","28.0000000000","Linux Kernel
Wireshark
Perl Modules
MySQL
OpenStack","Yes","No","Yes","Yes","","4","Yes","3","I would be more likely to sign with a non-profit entity","","4","No","2","Other","only if the project was ""owned"" by my employer","4","No","4","I would be more likely to contribute to a non-profit entity","","No","","","Yes","Yes","Yes","Yes","Yes","No","",""
"16.0000000000","14.0000000000","Too many to name..","Yes","No","Yes","Yes","","3","No","2","I am unsure if non-profit/for-profit status would affect my decision","","1","No","1","I am unsure if non-profit/for-profit status would affect my decision","","3","Yes","3","I am unsure if non-profit/for-profit status would affect my decision","","No","","Yes","Yes","Yes","No","No","Yes","No","",""
"39.0000000000","15.0000000000","Unix kernel
Python libraries
Imaplib2
Facemail
Mhsnet","Yes","Yes","Yes","No","","5","No","1","I would not sign with either","","4","No","1","I would not sign with either","","1","No","3","I would be more likely to contribute to a non-profit entity","","No","","Yes","Yes","No","No","No","No","Yes","",""
"20.0000000000","15.0000000000","vuurmuur
centerim
postfixadmin","Yes","No","No","No","","2","No","","I would be more likely to sign with a non-profit entity","","1","","","","","1","No","","","","","","","","No","Yes","No","No","No","",""
"15.0000000000","15.0000000000","Debian, cracklib, CAcert.org, Mandrake, sqlalchemy-migrate, protobuf, BouncyCastle","Yes","No","Yes","No","","5","No","2","I would only sign with a non-profit entity","","5","No","3","I would only sign with a non-profit entity","","1","No","1","I would not contribute to either","","No","","","","No","No","No","No","No","",""
"4.0000000000","2.0000000000","PyBombs
GNSS-SDR","Yes","No","No","No","","4","No","5","I would be more likely to sign with a non-profit entity","","","No","4","I would only sign with a non-profit entity","","3","No","5","I would be equally willing to contribute to either","","No","","No","Yes","No","No","No","No","No","",""
"25.0000000000","15.0000000000","Firefox
Thunderbird
Bugzilla
DSMLTools
Online Book Exchange","Yes","No","Yes","Yes","","5","No","2","I would only sign with a non-profit entity","","5","No","2","I would only sign with a non-profit entity","","3","No","3","I am unsure if non-profit/for-profit status would affect my decision","","Yes","Mozilla
https://www.mozilla.org/hacking/committer/committers-agreement.pdf","Yes","Yes","No","No","No","No","No","",""
"20.0000000000","14.0000000000","Mozilla
Subversion
","Yes","No","Yes","No","","5","Yes","4","I would be equally willing to sign with either","","5","No","2","I would only sign with a non-profit entity","","4","No","5","I would be equally willing to contribute to either","","No","","No","Yes","No","No","No","No","No","",""
"23.0000000000","20.0000000000","curl, libssh2, c-ares, Firefox, wget, subversion, git, hypermail, Rockbox, trio, roffit, nghttp2, wireshark ...","Yes","Yes","Yes","Yes","","4","Yes","2","I would be more likely to sign with a non-profit entity","","4","Yes","2","I would be more likely to sign with a non-profit entity","","4","Yes","5","I would be equally willing to contribute to either","","No","","Yes","Yes","Yes","Yes","Yes","Yes","No","",""
"20.0000000000","5.0000000000","Mozilla","Yes","No","No","No","","2","No","","I am unsure if non-profit/for-profit status would affect my decision","","1","","","","","1","","","","","No","","Yes","Yes","Yes","No","Yes","Yes","No","","What genuine problem do contributor agreements actually solve?"
