"projectname","sourcetype","projectsize","projectsize[other]","participants[1]","participants[2]","participants[3]","participants[4]","participants[5]","participants[other]","projectentity[1]","projectentity[2]","projectentity[3]","projectentity[4]","projectentity[5]","projectentity[6]","projectentity[7]","projectentity[other]","projectlicense[1]","projectlicense[2]","projectlicense[3]","projectlicense[4]","projectlicense[5]","projectlicense[6]","projectlicense[7]","projectlicense[other]","policylink","policyelements[1]","policyelements[2]","policyelements[3]","policyelements[4]","policyelements[5]","policyelements[6]","policyelements[7]","policyelements[8]","policyelements[9]","policyelements[10]","policyelements[other]","signedby[1]","signedby[2]","signedby[3]","signedby[4]","signedby[5]","signedby[6]","signedby[7]","signedby[8]","signedby[other]","noagreement[1]","noagreement[2]","noagreement[3]","noagreement[4]","noagreement[5]","noagreement[other]","projectcomments"
"Eclipse Project","Yes","Large","","Yes","Yes","No","No","Yes","","No","Yes","No","No","Yes","No","No","","No","No","No","No","No","No","Yes","","https://www.eclipse.org/legal/CLA.php","No","No","No","No","Yes","Yes","Yes","No","No","No","","No","No","Yes","Yes","Yes","Yes","No","No","","No","No","No","No","No","","Eclipse has two types of agreements. One for committers, and one for contributors.

All commits are signed-off-by in git using a DCO (we call it a CoO - Certificate of Originality)"
"Discourse","Yes","Large","","Yes","Yes","Yes","Yes","Yes","","No","No","No","Yes","No","No","No","","No","No","Yes","No","No","No","No","","http://discourse.org/cla","No","No","Yes","No","No","No","No","No","Yes","Yes","","No","No","No","Yes","No","No","No","No","","No","No","No","No","No","",""
"Mozilla","Yes","Large","","Yes","Yes","Yes","Yes","No","","No","Yes","No","No","No","No","No","","Yes","No","No","No","No","Yes","No","","https://www.mozilla.org/hacking/committer/committers-agreement.pdf","No","No","No","No","No","Yes","Yes","No","No","No","","No","No","Yes","No","No","No","No","No","The above should be true; we haven't managed to extend to Github contributions yet","No","No","No","No","No","","Our Committer's Agreement is best seen as a promise of and a reminder of good behaviour. There is no copyright assignment."
"Fedora Project","Yes","Medium","","Yes","Yes","Yes","No","No","","No","No","No","Yes","No","No","No","","No","No","Yes","No","No","No","No","CC BY-SA","https://fedoraproject.org/wiki/Legal:Fedora_Project_Contributor_Agreement","No","No","Yes","No","No","Yes","No","No","No","No","","No","No","No","Yes","No","No","No","No","","No","No","No","No","No","",""
"delayed_paperclip","Yes","Fewer than 10 developers","","Yes","Yes","Yes","Yes","No","","Yes","No","No","No","No","No","No","","No","No","No","No","Yes","No","No","","","Yes","Yes","No","No","No","Yes","No","No","No","No","","Yes","No","No","No","Yes","No","No","No","","No","Yes","No","No","Yes","",""
"OpenAFS","Yes","Other","271 contributes all time; 31 in the last 12 months","Yes","Yes","No","Yes","Yes","","Yes","No","No","No","No","No","No","","No","No","No","No","No","No","No","IBM Public License 1.0","","Yes","Yes","No","No","No","No","No","No","No","No","License is per source file.   New code is encouraged to be BSD","No","No","No","No","No","No","No","No","","No","No","No","No","No","","The history of OpenAFS is that its initial code contribution was IBM publishing the ""IBM AFS 3.6"" source code to its DeveloperWorks site under the IBM Public License 1.0.   The ownership of that code still belongs to IBM but IBM does not run the project nor has it ever been willing to grant ownership of the code copyright or the trademarks or patents to a legal or non-legal entity.  There is no contributor agreement because it is unclear whom would have a right to issue one.
"
"Asterisk","Yes","Medium","","Yes","Yes","Yes","Yes","No","","No","No","No","Yes","No","No","No","","No","No","Yes","No","No","No","No","","https://issues.asterisk.org/jira/secure/DigiumLicense.jspa","No","No","No","No","No","Yes","No","No","No","No","","No","No","No","Yes","No","No","No","No","","No","No","No","No","No","",""
"OpenMRS","Yes","Large","","Yes","Yes","Yes","No","Yes","","No","Yes","No","No","No","No","No","","No","No","No","No","No","Yes","No","","","Yes","No","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","No","","No","No","Yes","Yes","Yes","",""
"OpenStack","Yes","Large","","Yes","Yes","Yes","No","Yes","","No","Yes","No","No","No","No","No","","Yes","No","No","No","No","No","No","","https://review.openstack.org/static/cla.html","No","No","Yes","No","No","No","Yes","Yes","No","No","","No","No","No","Yes","No","No","Yes","No","","No","No","No","No","No","",""
"Perl","Yes","Medium","","Yes","Yes","Yes","No","No","","No","Yes","No","No","No","No","No","","No","No","Yes","No","No","No","No","Artistic License","http://www.perlfoundation.org/contributor_license_agreement","No","No","Yes","No","No","Yes","Yes","Yes","No","No","","No","Yes","No","No","No","No","No","No","","No","No","No","No","No","","The CLA says I am supposed to have signed it and mailed it in, but I have not done so and my contributions continue to be merged. It is possible that because they are documentation fixes, they don't care as much."
