# yearsflossdeveloper, yearsdeveloper
14,21
16,24
21,31
28,29
14,16
15,39
15,20
15,15
2,4
15,25
14,20
20,23
5,20
6,6
13,18
8,30
15,15
16,21
6,6
15,15
13,15
14,20
14,14
12,17
10,17
15,20
6,6
14,27
11,14
10,10
12,15
14,16
10,10
4,4
18,20
11,13
14,20
4,8
29,35
15,15
9,13
15,15
19,22
13,16
10,16
5,10
15,20
15,20
17,20
15,25
7,10
10,11
15,30
14,16
5,4
3,3
20,25
25,35
3,2
1,1
22,22
23,35
13,20
15,15
10,10
13,35
8,15
5,19
10,12
20,20
23,33
8,16
29,34
5,10
2,7
4,15
4,10
4,7
15,15
4,5
2,2
25,32
20,35
6,8
14,16
15,20
20,33
13,20
6,15
15,15
3,4
24,30
12,17
2,2
13,35
1,10
8,14
2,20
35,35
14,18
3,6
9,15
10,15
16,17
10,40
14,14
25,26
17,17
28,30
4,8
24,32
15,15
14,20
15,16
20,35
16,16
16,23
20,32
5,18
5,5
17,25
18,18
27,30
10,10
16,27
20,30
23,30
18,21
7,7
8,10
12,14
17,20
6,6
13,31
11,12
